FirstName,Phone,Notes
John Smith,9876543210,Interested in 3BHK apartment
Sarah Johnson,8765432109,Looking for villa in city center
Michael Brown,7654321098,First time home buyer
Emily Davis,6543210987,Interested in commercial property
David Wilson,5432109876,Looking for investment property
Lisa Anderson,4321098765,Interested in 2BHK flat
Robert Taylor,3210987654,Want to sell current property
Jennifer Martinez,2109876543,Looking for rental property
William Thomas,1098765432,Interested in plot
Patricia Garcia,9876543211,Looking for farmhouse
James Robinson,8765432101,Interested in studio apartment
Mary Clark,7654321092,Looking for penthouse
Richard Rodriguez,6543210983,Interested in duplex
Susan Lewis,5432109874,Looking for townhouse
Joseph Lee,4321098765,Interested in bungalow 
